"Employeurs ayant obtenu une Étude d'impact sur le marché du travail (EIMT) positive en 2016, par classification nationale des professions (CNP) 2011 et lieu d’affaires",,,, 
Province/Territoire,Employeur,Adresse,Profession sous CNP 2011,"Postes Approuvés
" 
,1046765 BC Ltd,"Vernon, BC V1T 1P4",6211-Superviseurs des ventes - commerce de détail,1
,1047053 BC Ltd o/a Dawson Creek Sushi,"Dawson Creek, BC V1G 4K6",6311-Superviseurs des services alimentaires,1
,,,6322-Cuisiniers,1
,1047449 BC Ltd.,"Sooke, BC V9Z 0A1",6322-Cuisiniers,2
,1048259 BC Ltd,"Surrey, BC V4A 9C1",4411-Gardiens d'enfants en milieu familial,1
,1048868 BC Ltd,"Victoria, BC V8W 1K3",6322-Cuisiniers,2
,1051237 BC Ltd,"Vancouver, BC V6B 1B6","651-Directeurs du service à la clientèle et des services personnels, n.c.a.",1
,1052638 B.C. LTD,"West Vancouver, BC V7T 2W4",6311-Superviseurs des services alimentaires,1
,1053356 B.C. Ltd,"Kamloops, BC V2C 4A6",6322-Cuisiniers,2
,1054224 BC Ltd  o/a Rivers Restaurant,"Chilliwack, BC V2R 5E3",6322-Cuisiniers,1
,1056516 BC LTD  o/a FATBURGER,"DELTA, BC V4K 1W4",6311-Superviseurs des services alimentaires,2
,1058096 BC Ltd,"Williams Lake, BC V2G 0A6",6322-Cuisiniers,1
,1058489 BC LTD.,"Vancouver, BC V6B 5C6",6322-Cuisiniers,1
,1059368 B.C. Ltd.,"Vancouver, BC V5Z 2M9","15-Cadres supérieurs - commerce, radiotélédiffusion et autres services, n.c.a.",1
,1061563 BC Ltd,"Vancouver, BC V6A 2E5","1215-Superviseurs du personnel de coordination de la chaîne d'approvisionnement, du suivi et des horaires",1
,,,6222-Acheteurs des commerces de détail et de gros,1
,1061630 B.C. LTD,"North Vancouver, BC V7J 0A2",6311-Superviseurs des services alimentaires,1
,1066347 BC Ltd/D.R. Barnston Holdings Ltd,"Delta, BC V4E 2A8",8431-Ouvriers agricoles,4
,1066767 B.C. Ltd.,"Parksville, BC V9P 2G5","651-Directeurs du service à la clientèle et des services personnels, n.c.a.",1
,1068304 B.C. Ltd.,"Parksville, BC V9P 2G5",631-Directeurs de la restauration et des services alimentaires,1
,1071830 BC Ltd.,"Salmon Arm, BC V1E 4N2",6311-Superviseurs des services alimentaires,1
,,,6322-Cuisiniers,2
,1079799 B.C. Ltd,"Vancouver, BC V6Z 0B3",5244-Artisans,1
,10sheet Services Inc.,"Vancouver, BC V6B 2J2",1212-Superviseurs de commis de finance et d'assurance,1
,1146104 Alberta Ltd,"Burnaby, BC V3N 4R7",6525-Réceptionnistes d'hôtel,2
,14299 90A Avenue,"Surrey, BC V3V 7X9",111-Directeurs financiers,1
,16th Avenue Farms Ltd,"Pitt Meadows, BC V3Y 1Z1",8432-Ouvriers de pépinières et de serres,10
,1946328 Ontario Ltd,"Victoria, BC V8T 4P7","14-Cadres supérieurs - santé, enseignement, services sociaux et communautaires et associations mutuelles",1
,2 Sisters Poultry & Meat Ltd.,"Burnaby, BC V5J 5E6",112-Directeurs des ressources humaines,1
,,,1311-Techniciens en comptabilité et teneurs de livres,1
,2016-04-29,"Vancouver, BC V6B 0H3",631-Directeurs de la restauration et des services alimentaires,1
,21C Century Trading Inc.,"Delta, BC V4G 0A2","651-Directeurs du service à la clientèle et des services personnels, n.c.a.",1
,,,"1215-Superviseurs du personnel de coordination de la chaîne d'approvisionnement, du suivi et des horaires",1
,,,6222-Acheteurs des commerces de détail et de gros,1
,,,"9213-Surveillants dans la transformation des aliments, des boissons et des produits connexes",2
,249937 British Columbia Ltd,"Sechelt, BC V0N 3A0",4214-Éducateurs et aides-éducateurs de la petite enfance,1
,2943263 Canada Inc,"Vancouver, BC V6E 2V2",112-Directeurs des ressources humaines,1
,,,621-Directeurs - commerce de détail et de gros,1
,3 Seas Sushi Ltd,"Coquitlam, BC V3J 2R6",6322-Cuisiniers,2
,341234 BC Ltd,"Burnaby, BC V5C 4B3",1223-Agents des ressources humaines et de recrutement,1
,,,2171-Analystes et consultants en informatique,1
,348706 BC Ltd. (dba) Crown Dental Studio,"Surrey, BC V3T 4X8",3223-Technologues et techniciens dentaires et auxiliaires dans les laboratoires dentaires,1
,370591 BC Ltd,"Burnaby, BC V5C 3Z6",6322-Cuisiniers,1
,381282 BC Ltd.,"Langley, BC V4W 2X3",1221-Agents d'administration,1
,3D Custom Foam Inc.,"Burnaby, BC V5A 3G1",2233-Technologues et techniciens en génie industriel et en génie de fabrication,1
,4 Season King Mushrooms Ltd.,"Langley, BC V4W 2E1","8252-Entrepreneurs de services agricoles, surveillants d'exploitations agricoles et ouvriers spécialisés dans l'élevage",1
,,,8611-Manoeuvres à la récolte,13
,419219 Alberta Ltd o/a Best Western Salmon Arm Inn,"Salmon Arm, BC V1E 1E4",6312-Gouvernants principaux,1
,420877 BC Ltd dba Flying Fresh Air Freight,"Richmond, BC V7B 1K7","1215-Superviseurs du personnel de coordination de la chaîne d'approvisionnement, du suivi et des horaires",1
,426889 BC Ltd,"Penticton, BC V2A 5K6",6311-Superviseurs des services alimentaires,4
,441204 BC Ltd. dba ABC Country Restaurant,"Richmond, BC V6X 2C1",6322-Cuisiniers,1
,445521 BC Ltd dba Baci Restaurant,"Burnaby, BC V5C 2H5",6322-Cuisiniers,1
,472631 BC Ltd.,"Vernon, BC V1T 5C6",6311-Superviseurs des services alimentaires,1
,481842 BC Ltd,"Revelstoke, BC V0E 2S0","6313-Superviseurs des services d'hébergement, de voyages, de tourisme et des services connexes",1
,482631 BC Ltd dba Chevron,"Burnaby, BC V5G 1J3",621-Directeurs - commerce de détail et de gros,1
,505401 BC Ltd.,"Burnaby, BC V5J 3J1","7384-Autre personnel des métiers et personnel assimilé, n.c.a.",2
,511407 BC Ltd,"Wonowon, BC V0C 2N0","6711-Serveurs au comptoir, aides de cuisine et personnel de soutien assimilé",2
,519090 BC Ltd & 599862 BC Ltd,"Delta, BC V4K 3N2",8432-Ouvriers de pépinières et de serres,64
,521626 B.C. LTD.,"Victoria, BC V8W 1L4",621-Directeurs - commerce de détail et de gros,1
,538439 BC Ltd,"Richmond, BC V6X 2R2",6222-Acheteurs des commerces de détail et de gros,1
,552781 BC Ltd.,"Sicamous, BC V0E 2V0",6311-Superviseurs des services alimentaires,3
,559411 B.C. Ltd,"Kamloops, BC V2C 4Y7",6311-Superviseurs des services alimentaires,1
,568423 B.C. Ltd,"Surrey, BC V3W 2P2",6211-Superviseurs des ventes - commerce de détail,1
,573846 British Columbia Ltd.,"Golden, BC V0A 1H0","7321-Mécaniciens et réparateurs de véhicules automobiles, de camions et d'autobus",1
,577803 BC Ltd,"Cawston, BC V0X 1C2",8431-Ouvriers agricoles,6
,579467 BC Ltd,"Vancouver, BC V5X 2S3",6311-Superviseurs des services alimentaires,1
,590079 BC Ltd.,"Sparwood, BC V0B 2G0",6322-Cuisiniers,1
,591370 BC Ltd.,"Delta, BC V3M 6X1",7511-Conducteurs de camions de transport,3
,596353 BC Ltd.,"Vancouver, BC V6B 0A8",6311-Superviseurs des services alimentaires,1
,598657 BC Ltd dba The Buns Master Bakery,"Langley, BC V3A 5E8",6332-Boulangers-pâtissiers,1
,599079 BC Ltd.,"Vancouver, BC V5Z 2M9",6322-Cuisiniers,1
,612966 BC Ltd.,"Vancouver, BC V6E 1B2",6322-Cuisiniers,2
,617436 BC Ltd dba Freight Link Express,"Richmond, BC V7B 1K3",7305-Surveillants du transport routier et du transport en commun,1
,626500 BC Ltd.,"Hope, BC V0X 1L4",632-Directeurs des services d'hébergement,1
,627520 BC Ltd.,"North Vancouver, BC V7R 2N4",6311-Superviseurs des services alimentaires,1
,631723 BC Ltd,"Surrey, BC V3V 4K8",7511-Conducteurs de camions de transport,3
,635619 BC Ltd,"Cawston, BC V0X 1C2",8431-Ouvriers agricoles,5
,635971 BC Ltd,"Surrey, BC V3S 3C4",7236-Monteurs de charpentes métalliques,12
,636230 BC Ltd. (dba) Vera's Burger Shack Franchise Inc.,"Vancouver, BC V6G 2N1",6322-Cuisiniers,2
,644294 BC Ltd. dba Days Inn & Suites,"Langley, BC V3A 4L6",6312-Gouvernants principaux,1
,646354 BC Ltd dba Pearl Castle Restaurant,"Richmond, BC V6X 3Z9",6311-Superviseurs des services alimentaires,1
,,,6322-Cuisiniers,1
,648039 B C Ltd dba Roxy Burger,"Vancouver, BC V6L 1L2",6311-Superviseurs des services alimentaires,1
,,,6322-Cuisiniers,1
,648741 BC Ltd.,"Delta, BC V4C 4Z3",631-Directeurs de la restauration et des services alimentaires,1
,651428 BC Ltd.,"Surrey, BC V3R 1N5","6331-Bouchers, coupeurs de viande et poissonniers - commerce de gros et de détail",1
,655532 BC Ltd.,"Vancouver, BC V6R 2H6","15-Cadres supérieurs - commerce, radiotélédiffusion et autres services, n.c.a.",1
,,,631-Directeurs de la restauration et des services alimentaires,1
,,,6322-Cuisiniers,1
,656024 BC Ltd.,"North Vancouver, BC V7M 1A4",6311-Superviseurs des services alimentaires,1
,6606521 Canada Inc.,"Richmond, BC V7E 2B3",2242-Électroniciens d'entretien (biens domestiques et commerciaux),1
,,,7205-Entrepreneurs et contremaîtres des autres métiers de la construction et des services de réparation et d'installation,1
,661262 BC Ltd. dba Tim Hortons,"Quesnel, BC V2J 5B6",6311-Superviseurs des services alimentaires,4
,661736 BC Ltd.,"Vancouver, BC V6E 1N1",6211-Superviseurs des ventes - commerce de détail,2
,661881 BC Ltd (Gold's Gym Burnaby),"Burnaby, BC V5C 4B3","5254-Animateurs et responsables de programmes de sports, de loisirs et de conditionnement physique",1
,671320 BC Ltd. DBA Fruiticana #8,"Surrey, BC V4N 0Y3",6211-Superviseurs des ventes - commerce de détail,1
,673283 B.C. Ltd.,"Parksville, BC V9P 1K8","6313-Superviseurs des services d'hébergement, de voyages, de tourisme et des services connexes",1
,674079 BC Ltd.,"Rosedale, BC V0X 1X0",6211-Superviseurs des ventes - commerce de détail,1
,683500 BC Ltd,"Golden, BC V0A 1H0","5254-Animateurs et responsables de programmes de sports, de loisirs et de conditionnement physique",4
,683713 Bc Ltd,"Delta, BC V4G 1K2",8431-Ouvriers agricoles,5
,684492 BC Ltd,"Vancouver, BC V5X 2T4",6311-Superviseurs des services alimentaires,1
,688953 BC Ltd. dba Comfort Inn and Suites,"Surrey, BC V4N 5R8",1311-Techniciens en comptabilité et teneurs de livres,1
,7 Star Railing & Gates Ltd,"Surrey, BC V3W 3E8",7237-Soudeurs et opérateurs de machines à souder et à braser,1
,7 Star Security Services Inc.,"Surrey, BC V3W 1S9",111-Directeurs financiers,1
,,,"124-Directeurs de la publicité, du marketing et des relations publiques",1
,,,6316-Surveillants des autres services,1
,729928 BC Ltd,"Oliver, BC V0H 1T1",8431-Ouvriers agricoles,2
,8303 Enterprises Ltd.,"Port Hardy, BC V0N 2P0",6322-Cuisiniers,1
,88 Supermarket Ltd.,"Vancouver, BC V5N 4P3",6211-Superviseurs des ventes - commerce de détail,1
,8953511 Canada Inc.,"Brentwood Bay, BC V8M 1R3",621-Directeurs - commerce de détail et de gros,1
,9 Reeat Dining Ltd.,"Vancouver, BC V6B 0J9",6311-Superviseurs des services alimentaires,1
,,,6322-Cuisiniers,1
,947516 B.C. Ltd,"Prince George, BC V2L 2L2",6322-Cuisiniers,2
,97 Foods Ltd. dba A&W Restaurant & Drive In,"Kelowna, BC V1X 4J8",6311-Superviseurs des services alimentaires,1
,99 Institute Ltd.,"Vancouver, BC V6C 2E7",1221-Agents d'administration,1
,A & A Holdings Inc.,"North Vancouver, BC V7M 2K3",631-Directeurs de la restauration et des services alimentaires,1
,A & B Holdings Inc.,"Surrey, BC V3W 2V3",1221-Agents d'administration,1
,,,"6331-Bouchers, coupeurs de viande et poissonniers - commerce de gros et de détail",2
,,,"9213-Surveillants dans la transformation des aliments, des boissons et des produits connexes",1
,A & G Ceramic Tiles Ltd,"Coquitlam, BC V3E 2W1",7283-Carreleurs,1
,A & H STONE LTD.,"Richmond, BC V6V 3A5",7231-Machinistes et vérificateurs d'usinage et d'outillage,1
,A & I Drywall Ltd,"Surrey, BC V3S 3E8",7271-Charpentiers-menuisiers,3
,A & M Orchards Ltd,"Keremeos, BC V0X 1N0",8431-Ouvriers agricoles,20
,A & P Fruit Growers Ltd,"Abbotsford, BC V2T 0C4","8252-Entrepreneurs de services agricoles, surveillants d'exploitations agricoles et ouvriers spécialisés dans l'élevage",5
,,,8431-Ouvriers agricoles,25
,A and B Ventures Ltd.,"Vancouver, BC V5S 4Y1",6311-Superviseurs des services alimentaires,3
,A Class Framing Ltd.,"Vancouver, BC V5X 1E3",7204-Entrepreneurs et contremaîtres en charpenterie,1
,A Group Cargo Terminal Inc.,"Richmond, BC V6X 1X1","1215-Superviseurs du personnel de coordination de la chaîne d'approvisionnement, du suivi et des horaires",1
,A J Boyal Truck Repair Limited,"Surrey, BC V3S 1Z9","7321-Mécaniciens et réparateurs de véhicules automobiles, de camions et d'autobus",2
,A R Casorso Ltd,"Kelowna, BC V1W 4R7",8431-Ouvriers agricoles,2
,A S Khurana & Associates Inc,"Surrey, BC V3V 4B7",1241-Adjoints administratifs,1
,A S Roofing Ltd,"Surrey, BC V3V 4S8",7291-Couvreurs et poseurs de bardeaux,2
,A Taste of Punjab Restaurant Ltd.,"Surrey, BC V3T 4G1",6311-Superviseurs des services alimentaires,1
,,,6322-Cuisiniers,3
,A Thinking Ape Entertainment Ltd o/a A Thinking Ape,"Vancouver, BC V6B 1B6",2173-Ingénieurs et concepteurs en logiciel,1
,,,5241-Designers graphiques et illustrateurs,1
,A&F Caribbean Breeze Catering Ltd,"Surrey, BC V3W 7X4",6322-Cuisiniers,1
,A&T Design Print & Signs Inc.,"Surrey, BC V3W 1R1",7303-Surveillants de l'imprimerie et du personnel assimilé,1
,A&W Food Services,"North Vancouver, BC V7M 3K9",5135-Acteurs et comédiens,4
,A. A. Bestpro Garden Services Ltd.,"North Vancouver, BC V7N 3A8","8255-Entrepreneurs et superviseurs des services de l'aménagement paysager, de l'entretien des terrains et de l'horticulture",1
,,,8612-Manoeuvres en aménagement paysager et en entretien des terrains,1
,A.D.G.S Enterprises Ltd.,"New Westminster, BC V3M 3S3",6311-Superviseurs des services alimentaires,1
,A.M. Framing Ltd.,"Surrey, BC V3W 4N1",7271-Charpentiers-menuisiers,2
,A1 Building Supplies Ltd.,"Surrey, BC V3W 4P1","1215-Superviseurs du personnel de coordination de la chaîne d'approvisionnement, du suivi et des horaires",1
,A-1 Doors & Mouldings Ltd,"Surrey, BC V3W 3A6",6211-Superviseurs des ventes - commerce de détail,1
,,,7271-Charpentiers-menuisiers,1
,A-1 Drainage Plumbing & Heating Ltd.,"Vancouver, BC V5T 2K5",7251-Plombiers,2
,A1 Indian Restaurant Ltd.,"Surrey, BC V3W 2V7",6322-Cuisiniers,1
,A-1 Powder Coating Ltd.,"Surrey, BC V3W 1B3",7237-Soudeurs et opérateurs de machines à souder et à braser,2
,A1 Sports Limited,"Surrey, BC V3W 3A8",621-Directeurs - commerce de détail et de gros,2
,A-1 Truss (2002) Ltd,"Surrey, BC V3W 4G2",7371-Grutiers,1
,A-1 Window Mfg. Ltd.,"Burnaby, BC V3N 5E9",7271-Charpentiers-menuisiers,3
,,,7292-Vitriers,2
,A1 Wireless Inc.,"Surrey, BC V3W 4E6",2282-Agents de soutien aux utilisateurs,1
,,,6211-Superviseurs des ventes - commerce de détail,1
,A2Z Enterprise Inc.,"Surrey, BC V4N 5L9",4214-Éducateurs et aides-éducateurs de la petite enfance,1
,AA Property Management Ltd,"Richmond, BC V6X 4J9","121-Directeurs des assurances, de l'immobilier et du courtage financier",1
,AAA Plumbing & Heating Ltd,"Surrey, BC V3W 2P5",7251-Plombiers,2
,AB Integrated Solutions Inc,"North Vancouver, BC V7J 1B5",1222-Adjoints de direction,1
,Abana Abatement Ltd.,"Surrey, BC V3S 7Y5",7205-Entrepreneurs et contremaîtres des autres métiers de la construction et des services de réparation et d'installation,1
,,,7271-Charpentiers-menuisiers,1
,Abbotsford Truck & Trailer Repair Ltd.,"Abbotsford, BC V2T 7A1",1221-Agents d'administration,1
,Abbotsford Valley Animal Emergency Clinic Inc.,"Abbotsford, BC V2S 3P4",3213-Technologues en santé animale et techniciens vétérinaires,1
,Abby Country Motors Ltd.,"Surrey, BC V3W 4H7",7312-Mécaniciens d'équipement lourd,2
,ABC Painting Ltd,"Surrey, BC V3X 0E5",7204-Entrepreneurs et contremaîtres en charpenterie,1
,AbeBooks Inc.,"Victoria, BC V9A 6X5","13-Cadres supérieurs - services financiers, communications et autres services aux entreprises",1
,,,213-Gestionnaires des systèmes informatiques,1
,Aburiya Sushi Inc,"Maple Ridge, BC V2X 3J9",6322-Cuisiniers,2
,Accent Finishing Inc,"Vancouver, BC V6E 3Z8",7271-Charpentiers-menuisiers,2
,Acciona Infrastructure Canada Inc,"Vancouver, BC V7X 1J1",711-Directeurs de la construction,1
,,,2131-Ingénieurs civils,1
,Accord Transportation Ltd.,"Surrey, BC V3S 2A7",7511-Conducteurs de camions de transport,10
,Accurate Metal Powder Coating,"Surrey, BC V3W 4B2",7237-Soudeurs et opérateurs de machines à souder et à braser,1
,Accurate Truck Service Ltd.,"Richmond, BC V6V 1H9",7312-Mécaniciens d'équipement lourd,1
,Accurpress Tooling Systems,"Surrey, BC V3S 7X1",2241-Technologues et techniciens en génie électronique et électrique,1
,Ace Laser Inc.,"North Vancouver, BC V7P 1B3",1225-Agents aux achats,1
,Ace Learning Centre Inc,"Surrey, BC V3W 1R1",1241-Adjoints administratifs,1
,Ace Link Fence Ltd.,"Surrey, BC V3X 1V4",7271-Charpentiers-menuisiers,1
,Ace Okoman Holdings Ltd.,"Burnaby, BC V3J 7T9",6311-Superviseurs des services alimentaires,1
,,,6322-Cuisiniers,1
,ACL Services Ltd.,"Vancouver, BC V6Z 0C8",6221-Spécialistes des ventes techniques - commerce de gros,1
,Acme Transport Ltd,"Surrey, BC V3S 9A0",7511-Conducteurs de camions de transport,3
,Acom Drywall Limited,"Surrey, BC V3W 6P4","7284-Plâtriers, poseurs et finisseurs de systèmes intérieurs et latteurs",3
,ACS Benipal Ltd.,"Abbotsford, BC V2S 6N5","8252-Entrepreneurs de services agricoles, surveillants d'exploitations agricoles et ouvriers spécialisés dans l'élevage",3
,Acsenda School of Management Inc.,"Vancouver, BC V6E 2N7",4011-Professeurs et chargés de cours au niveau universitaire,1
,Action Holdings Ltd DBA Custom Blacktop Co,"Burnaby, BC V5B 3A6",2234-Estimateurs en construction,1
,Active Fire & Safety Services Ltd.,"Surrey, BC V3W 3H7","7252-Tuyauteurs, monteurs d'appareils de chauffage et poseurs de gicleurs",5
,Active Pharma Inc,"Surrey, BC V3S 1X7",7311-Mécaniciens de chantier et mécaniciens industriels,1
,Acura Embedded Systems Inc.,"Surrey, BC V3W 4E6",2242-Électroniciens d'entretien (biens domestiques et commerciaux),1
,Ada-Yi Man Inc.,"Richmond, BC V6V 2J1",1212-Superviseurs de commis de finance et d'assurance,1
,Adriatic Demolition & Disposal Ltd.,"Burnaby, BC V5E 1L1",7271-Charpentiers-menuisiers,1
,Advance Foods Ltd.,"Richmond, BC V6X 3K8",6311-Superviseurs des services alimentaires,1
,Advance Nursery Co Ltd,"Grand Forks, BC V0H 1H0",8432-Ouvriers de pépinières et de serres,12
,Advanced Equipment Inc.,"Richmond, BC V6V 1Z5",1311-Techniciens en comptabilité et teneurs de livres,1
,Advanced Fleet Maintenance Ltd.,"Langley, BC V1M 3G4","7321-Mécaniciens et réparateurs de véhicules automobiles, de camions et d'autobus",1
,Advanced Framing Ltd.,"Surrey, BC V3S 1R7",7271-Charpentiers-menuisiers,2
,Advanced Seal Ltd.,"Port Coquitlam, BC V3B 4A3",1411-Employés de soutien de bureau généraux,1
,Aekum Development Ltd,"Vancouver, BC V5P 3S6",112-Directeurs des ressources humaines,1
,,,7237-Soudeurs et opérateurs de machines à souder et à braser,4
,,,7241-Électriciens (sauf électriciens industriels et de réseaux électriques),2
,,,7302-Entrepreneurs et contremaîtres des équipes d'opérateurs d'équipement lourd,3
,AEON Stone & Tile Inc.,"Vancouver, BC V5Y 1H9",113-Directeurs des achats,1
,Affinity Manufacturing Ltd.,"Surrey, BC V3W 1B3",2233-Technologues et techniciens en génie industriel et en génie de fabrication,1
,,,7231-Machinistes et vérificateurs d'usinage et d'outillage,2
,Afro Hair Studio,"Vancouver, BC V5N 4A8",6341-Coiffeurs et barbiers,1
,Aggarwal Foods Ltd.,"Surrey, BC V3W 1R1",6322-Cuisiniers,3
,Agiforce Security Ltd,"Surrey, BC V3W 0X1","124-Directeurs de la publicité, du marketing et des relations publiques",1
,,,6316-Surveillants des autres services,1
,Agilyx Solutions LImited,"Vancouver, BC V7Y 1C6",2171-Analystes et consultants en informatique,5
,Agom Holdings Corporation,"Sparwood, BC V0B 2G0",6311-Superviseurs des services alimentaires,2
,Agra Sweets & Restaurant Ltd,"Surrey, BC V3W 4G2",6322-Cuisiniers,1
,AHA Plumbing & Heating Ltd.,"Surrey, BC V3X 1J5",7251-Plombiers,1
,Ahn's Restaurant Inc.,"Courtenay, BC V9N 0A9",6311-Superviseurs des services alimentaires,1
,Air Hair Salon & Esthetics Ltd.,"Vancouver, BC V6B 2B5",6341-Coiffeurs et barbiers,1
,Aird's Kidzone Learning Center LTD,"Delta, BC V4M 2A7",4214-Éducateurs et aides-éducateurs de la petite enfance,1
,AJ Mona Pizza Inc,"Abbotsford, BC V4X 2N3",6322-Cuisiniers,1
,,"Pitt Meadows, BC V3Y 2J3",6322-Cuisiniers,1
,Ajay Boparai Enterprises Ltd,"Kelowna, BC V1W 4S4","8252-Entrepreneurs de services agricoles, surveillants d'exploitations agricoles et ouvriers spécialisés dans l'élevage",2
,,,8431-Ouvriers agricoles,20
,AJM International Development Corp.,"Richmond, BC V6X 2W8","124-Directeurs de la publicité, du marketing et des relations publiques",1
,Akal Plumbing and Heating Ltd.,"Surrey, BC V3V 1B3",7251-Plombiers,2
,Akal Siding & Soffit Ltd.,"Surrey, BC V3W 0J4",7205-Entrepreneurs et contremaîtres des autres métiers de la construction et des services de réparation et d'installation,1
,Akimbo Creations Inc.,"Vancouver, BC V5T 4T5",5241-Designers graphiques et illustrateurs,2
,AKMA Holdings Inc. dba Best Western Terrace Inn,"Burnaby, BC V5C 2H6",6311-Superviseurs des services alimentaires,1
,AKP Services Ltd.,"Port Alberni, BC V9Y 7M9",6311-Superviseurs des services alimentaires,2
,AKVA Group North America Inc.,"Campbell River, BC V9W 0C2",2241-Technologues et techniciens en génie électronique et électrique,1
,Al Madina Restaurant Inc.,"Surrey, BC V3V 4B8",6322-Cuisiniers,1
,Alaj Holdings Ltd,"Surrey, BC V3W 6V2",7241-Électriciens (sauf électriciens industriels et de réseaux électriques),1
,Alberta T.C. Farms Ltd,"Aldergrove, BC V4W 2P2",8431-Ouvriers agricoles,6
,Aldan Enterprises Ltd,"Burnaby, BC V3N 2T8",8432-Ouvriers de pépinières et de serres,2
,Aldergrove Tomo Sushi Ltd.,"Aldergrove, BC V4W 2Z7",6322-Cuisiniers,2
,Alfa71 Enterprises Ltd,"Langley, BC V3A 4E6",631-Directeurs de la restauration et des services alimentaires,1
,Alfa-Renaissance Skin Care Center Ltd,"Vancouver, BC V6Z 2R4",1221-Agents d'administration,1
,Alfredo's Restaurant (1988) Ltd.,"Vancouver, BC V6C 2X4",6311-Superviseurs des services alimentaires,1
,Ali Baba Pizza Ltd.,"Victoria, BC V8W 1G9",6311-Superviseurs des services alimentaires,1
,ALIMENTS ULTIMA INC. (YOPLAIT),"Delta, BC V4G 1K7","124-Directeurs de la publicité, du marketing et des relations publiques",1
,Aljane Farms Ltd,"Pitt Meadows, BC V3Y 1Z1",8432-Ouvriers de pépinières et de serres,10
,All Fortune Consulting Ltd. o/a Howard Johnson Hotel,"Victoria, BC V8V 3L2",6315-Surveillants des services de nettoyage,1
,All Seasons Development Ltd,"Surrey, BC V3S 5P1",711-Directeurs de la construction,1
,All Seasons Mushrooms Inc.,"Langley, BC V2Y 0M6",8431-Ouvriers agricoles,20
,Allcan Holdings (AHL) Ltd.,"Abbotsford, BC V2T 0C7",7511-Conducteurs de camions de transport,10
,ALLIANCE CABINET DOORS LTD.,"Surrey, BC V3S 1X7",7271-Charpentiers-menuisiers,2
,Allied Crane Ltd.,"Maple Ridge, BC V2X 5A2",7312-Mécaniciens d'équipement lourd,1
,Allison's Wonderland Childcare Centre Inc.,"Victoria, BC V8Z 7G1",4214-Éducateurs et aides-éducateurs de la petite enfance,1
,Allocadia Software Inc.,"Vancouver, BC V6E 3X1","13-Cadres supérieurs - services financiers, communications et autres services aux entreprises",1
,Alloymetrics Technologies ULC,"Vancouver, BC V5Y 1N3",2173-Ingénieurs et concepteurs en logiciel,1
,All-Pro Services Ltd.,"Port Coquitlam, BC V3C 2J9",7237-Soudeurs et opérateurs de machines à souder et à braser,1
,Allteck Line Contractors Inc,"Langley, BC V4W 3Z4",7202-Entrepreneurs et contremaîtres en électricité et en télécommunications,1
,,,7244-Monteurs de lignes électriques et de câbles,1
,Allwest Electric Ltd.,"Coquitlam, BC V3K 6T1",7241-Électriciens (sauf électriciens industriels et de réseaux électriques),1
,Alpha Drywall LLP,"North Vancouver, BC V7M 1G7",7205-Entrepreneurs et contremaîtres des autres métiers de la construction et des services de réparation et d'installation,2
,Alpha One Hair Innovations Ltd.,"Vancouver, BC V6B 2W5",6341-Coiffeurs et barbiers,1
,ALPHA PRODUCE LTD,"Langley, BC V4W 2Z6","8252-Entrepreneurs de services agricoles, surveillants d'exploitations agricoles et ouvriers spécialisés dans l'élevage",2
,,,8611-Manoeuvres à la récolte,19
,Alpha Santa Investment Ltd.,"Richmond, BC V6Y 0C2",6341-Coiffeurs et barbiers,2
,Alpine Building Maintenance Inc,"Delta, BC V4G 0A4",6315-Surveillants des services de nettoyage,2
,,,6731-Préposés à l'entretien ménager et au nettoyage - travaux légers,10
,Alpine Lock and Safe Ltd,"Whistler, BC V0N 1B0","7384-Autre personnel des métiers et personnel assimilé, n.c.a.",1
,Altered Carbon Productions 1 Inc.,"Surrey, BC V3W 3J5",1241-Adjoints administratifs,2
,,,"5226-Autre personnel technique et personnel de coordination du cinéma, de la radiotélédiffusion et des arts de la scène",1
,,,"6742-Autre personnel de soutien en service, n.c.a.",1
,Alterra Power Corp,"Vancouver, BC V6C 3K4","16-Cadres supérieurs - construction, transport, production et services d'utilité publique",1
,Altervale Farms Ltd.,"Abbotsford, BC V3G 1S5",8431-Ouvriers agricoles,5
,AM Cakes Inc.,"Vancouver, BC V6R 2B7",6311-Superviseurs des services alimentaires,1
,AM Collections Inc,"Vancouver, BC V5L 1V8","15-Cadres supérieurs - commerce, radiotélédiffusion et autres services, n.c.a.",1
,AM Sandher Farms Ltd,"Lake Country, BC V4V 1M3",8431-Ouvriers agricoles,24
,Amandeep S. Brar AGG Painting,"Surrey, BC V3W 3X6",7294-Peintres et décorateurs (sauf décorateurs d'intérieur),2
,Amar Exteriors Ltd,"Surrey, BC V3X 1X5",7271-Charpentiers-menuisiers,3
,Amazon Metal Co. Ltd.,"Surrey, BC V3W 4N2",1225-Agents aux achats,1
,Amer Sports Canada Inc,"North Vancouver, BC V7H 1A8","16-Cadres supérieurs - construction, transport, production et services d'utilité publique",1
,,,911-Directeurs de la fabrication,2
,,,"5243-Ensembliers de théâtre, dessinateurs de mode, concepteurs d'expositions et autres concepteurs artistiques",1
,Amex Kitchen Art Inc.,"Surrey, BC V3W 1L3",7311-Mécaniciens de chantier et mécaniciens industriels,1
,AMK Carrier Inc.,"Surrey, BC V3T 5M9",1241-Adjoints administratifs,1
